timestamp,experiment_name,generations,population_size,games_per_eval,max_steps,ai_agents,best_fitness,best_balance,best_duration,best_diversity,total_time_sec,experiment_dir
20260304_131359,local_two_ai_test,30,20,10,20000,"lightRushAI,workerRushAI",0.745,1.0,0.0,0.3,22.74,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772622839
20260304_133101,local_multi_ai_test,30,20,6,20000,"workerRushAI,lightRushAI,heavyRushAI,rangedRushAI",0.7675,1.0,0.0,0.45,254.05,/home/altaaf/projects/MicroRTS-Py-Research/ga_multi_matchup_output/local_multi_ai_test_1772623861
20260304_172719,local_two_ai_test,10,5,5,20000,"lightRushAI,workerRushAI",0.745,1.0,0.0,0.3,3.11,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772638039
20260305_123338,local_two_ai_test,10,5,5,20000,"lightRushAI,workerRushAI",0.745,1.0,0.0,0.3,3.16,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772706818
20260305_123544,local_two_ai_test,10,5,5,20000,"lightRushAI,workerRushAI",0.8856,1.0,0.9375,0.3,2.94,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772706944
20260305_124205,local_two_ai_test,10,5,10,20000,"lightRushAI,workerRushAI",0.8596,1.0,0.9988,0.3,3.79,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772707325
20260305_125633,local_two_ai_test,10,5,10,20000,"lightRushAI,workerRushAI,heavyRushAI,rangedRushAI,randomBiasedAI",0.7335,0.9739,0.4746,0.521,28.53,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772708193
20260305_133345,local_two_ai_test,40,25,10,20000,"lightRushAI,workerRushAI,heavyRushAI,rangedRushAI,randomBiasedAI,POHeavyRush,POLightRush,PORangedRush,POWorkerRush",0.7782,0.9927,0.6505,0.4337,4934.76,/home-mscluster/aally/Research/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772710425
20260305_155604,local_two_ai_test,10,5,10,20000,"lightRushAI,workerRushAI,heavyRushAI,rangedRushAI,randomBiasedAI,POHeavyRush,POLightRush,PORangedRush,POWorkerRush",0.7769,0.9519,0.6986,0.4569,380.29,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772718964
20260305_164350,local_two_ai_test,10,5,10,20000,"lightRushAI,workerRushAI,heavyRushAI,rangedRushAI,randomBiasedAI,POHeavyRush,POLightRush,PORangedRush,POWorkerRush",0.7713,0.9704,0.6516,0.453,206.28,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772721830
20260306_152009,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8488,1.0,0.9625,0.3,2.03,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772803209
20260306_152433,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8502,1.0,0.9675,0.3,1.97,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772803473
20260306_152648,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.7985,1.0,0.795,0.3,2.0,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772803608
20260306_153030,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8225,1.0,0.875,0.3,1.87,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772803830
20260306_153316,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.86,1.0,1.0,0.3,2.73,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772803996
20260306_153613,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.833,1.0,0.91,0.3,2.15,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772804173
20260306_153911,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8578,1.0,0.9925,0.3,2.05,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772804351
20260306_154014,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8555,1.0,0.985,0.3,1.52,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772804414
20260306_154502,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.7183,1.0,0.5275,0.3,1.96,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772804702
20260306_160300,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8442,1.0,0.9475,0.3,2.01,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772805780
20260306_160536,local_two_ai_test,5,3,5,20000,"lightRushAI,workerRushAI",0.8113,1.0,0.8375,0.3,2.08,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772805936
20260306_162245,local_two_ai_test,25,10,8,20000,"lightRushAI,workerRushAI,heavyRushAI,rangedRushAI,POHeavyRush,POLightRush,PORangedRush,POWorkerRush",0.8127,1.0,0.7686,0.4107,597.46,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1772806965
