map_path,ordering,game_index,winner_side,winner_ai,raw_reward0,raw_rewards_full,steps
,ordering_2_light_left,2,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,3,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,4,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,5,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,6,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,7,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,8,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,9,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,10,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,11,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,12,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,13,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,14,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,15,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,16,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,17,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,18,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,19,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,20,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,21,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,22,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,23,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,24,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
