generation,individual_index,normalized_value,denormalized_value,balance,overall_fitness
0,0,0.9827885359691576,15.827885359691576,0.5,0.32696666666666674
0,1,0.980724561829094,15.80724561829094,0.185903200617956,0.1828080145682776
0,2,0.9713237721042309,15.71323772104231,0.0,0.08313333333333334
0,3,0.9894377619774023,15.894377619774023,0.18144368465060579,0.15701057925542405
0,4,0.9787620016782901,15.7876200167829,0.8,0.5268888888888889
0,5,0.9712122534815403,15.712122534815403,0.18144368465060579,0.15701057925542405
1,0,1.0,16.0,0.8,0.5268355555555555
1,1,0.9309951025001318,15.309951025001318,0.5,0.32695666666666673
1,2,0.9825152702787834,15.825152702787834,0.8,0.5268377777777777
1,3,1.0,16.0,0.8,0.5268644444444445
1,4,0.9147667035900825,15.147667035900826,0.8,0.52684
1,5,0.9509603647816176,15.509603647816176,0.8,0.5268533333333333
2,0,0.9661190233799323,15.661190233799323,0.8,0.5268444444444444
2,1,0.985842763528596,15.85842763528596,0.8,0.5268333333333334
2,2,0.8827789978072653,14.827789978072653,0.8,0.5268533333333333
2,3,1.0,16.0,0.8,0.5268577777777778
2,4,1.0,16.0,0.8,0.5268222222222222
2,5,1.0,16.0,0.8,0.5268466666666666
3,0,1.0,16.0,0.8,0.5268311111111111
3,1,0.8616798255371857,14.616798255371856,0.8,0.5268333333333334
3,2,1.0,16.0,0.8,0.5268466666666666
3,3,1.0,16.0,0.8,0.5268911111111111
3,4,0.7600452702040014,13.600452702040013,0.8,0.5268577777777778
3,5,1.0,16.0,0.8,0.5268444444444444
4,0,0.6687517671658383,12.687517671658384,0.8,0.526851111111111
4,1,1.0,16.0,0.8,0.5268644444444445
4,2,1.0,16.0,0.8,0.5268555555555555
4,3,0.9559571059653009,15.55957105965301,0.8,0.5268266666666667
4,4,0.9480631387314156,15.480631387314155,0.8,0.5268377777777777
4,5,1.0,16.0,0.8,0.5268422222222222
5,0,0.7876840009995252,13.876840009995252,0.8,0.5268866666666666
5,1,0.7584297041911502,13.584297041911501,0.8,0.5268577777777778
5,2,0.8761586238125302,14.761586238125302,0.8,0.5268444444444444
5,3,0.9694837174767775,15.694837174767775,0.8,0.5268377777777777
5,4,0.9786298430684596,15.786298430684596,0.8,0.5268466666666666
5,5,0.9646865706147736,15.646865706147736,0.8,0.5268955555555556
6,0,0.9464367299249061,15.464367299249062,0.8,0.5268466666666666
6,1,1.0,16.0,0.8,0.5268355555555555
6,2,0.8228888771601,14.228888771601,0.8,0.5268377777777777
6,3,0.9547148069343501,15.5471480693435,0.8,0.5268222222222222
6,4,0.9712342792583745,15.712342792583744,0.8,0.5268466666666666
6,5,1.0,16.0,0.8,0.5268266666666667
7,0,1.0,16.0,0.8,0.5268488888888888
7,1,0.9758806798777682,15.758806798777682,0.8,0.5268355555555555
7,2,1.0,16.0,0.8,0.5268577777777778
7,3,0.8744310041012018,14.744310041012017,0.8,0.5269
7,4,0.8082481486820703,14.082481486820702,0.8,0.5268377777777777
7,5,0.9206759436970642,15.206759436970643,0.8,0.5268444444444444
8,0,1.0,16.0,0.8,0.5268377777777777
8,1,1.0,16.0,0.8,0.52684
8,2,1.0,16.0,0.8,0.52684
8,3,0.9321364094455952,15.321364094455951,0.8,0.5268355555555555
8,4,0.8778540581878662,14.778540581878662,0.8,0.5268488888888888
8,5,0.7176857396383702,13.176857396383703,0.8,0.5268488888888888
9,0,0.9011346787366602,15.011346787366602,0.8,0.5268533333333333
9,1,0.9355962339760746,15.355962339760746,0.8,0.5268422222222222
9,2,0.930324670410751,15.30324670410751,0.8,0.5268555555555555
9,3,1.0,16.0,0.8,0.5268555555555555
9,4,0.7919369253328942,13.919369253328941,0.8,0.5268155555555556
9,5,0.9999569988646874,15.999569988646874,0.8,0.5268711111111112
